"Data Source","World Development Indicators",

"Last Updated Date","2025-10-07",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023","2024",
"Nigeria","NGA","Changes in inventories (current US$)","NE.GDI.STKB.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Nigeria","NGA","Gross fixed capital formation (constant 2015 US$)","NE.GDI.FTOT.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Nigeria","NGA","Gross fixed capital formation, private sector (current LCU)","NE.GDI.FPRV.CN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Nigeria","NGA","Exports of goods and services (constant 2015 US$)","NE.EXP.GNFS.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Nigeria","NGA","Gross national expenditure (constant LCU)","NE.DAB.TOTL.KN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Nigeria","NGA","Gross national expenditure deflator (base year varies by country)","NE.DAB.DEFL.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Nigeria","NGA","Final consumption expenditure (constant 2015 US$)","NE.CON.TOTL.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Nigeria","NGA","Households and NPISHs Final consumption expenditure, PPP (constant 2021 international $)","NE.CON.PRVT.PP.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Nigeria","NGA","Households and NPISHs Final consumption expenditure (constant LCU)","NE.CON.PRVT.KN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Nigeria","NGA","Households and NPISHs Final consumption expenditure (current LCU)","NE.CON.PRVT.CN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Nigeria","NGA","General government final consumption expenditure (annual % growth)","NE.CON.GOVT.KD.ZG","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Nigeria","NGA","Arms exports (SIPRI trend indicator values)","MS.MIL.XPRT.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2000000","3000000","","","","","","","","","","0","","","","","","","","","","","","","","","","","","","","","2000000","3000000","","",
"Nigeria","NGA","Military expenditure (current USD)","MS.MIL.XPND.CD","23379990.6480037","28279988.6880045","38639984.5440062","45499981.8000073","54319978.2720087","65939973.6240106","55719977.7120089","239959904.016038","369039852.384059","684459726.21611","662339735.064106","639259541.899065","904095638.361745","1020223591.91056","1351141235.19314","3028584797.44989","2644426038.26039","3138198948.03948","3022642269.76791","3070825338.11694","3029915084.83287","2135475014.08432","1651914513.23833","1627393326.98334","1210916249.52546","1091662993.10564","516893509.335887","201691218.214958","271106046.546484","170705511.267894","277297783.483801","243705781.024049","173657679.322943","289231103.900224","319694489.907256","639406630.64676","701412878.580176","818784525.338","1149684729.96436","491671368.589997","368644109.462423","570632287.761505","896913201.413193","587461887.294733","639990066.823189","674208144.79638","776148058.327892","971321378.608673","1615533210.73676","1504486172.1132","1990099668.65827","2384936021.71384","2316478199.86159","2418760170.87063","2357671219.29062","2065557663.35091","1723204266.39515","1621218176.40317","2043051719.21673","1860260429.56134","2567917819.04386","4466397815.79541","3109384939.12352","3191915666.4663","",
"Nigeria","NGA","Logistics performance index: Ability to track and trace consignments (1=low to 5=high)","LP.LPI.TRAC.XQ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2.36","","","2.45","","2.35","","3.156793","","2.695249","","2.68","","","","2.7","","",
"Nigeria","NGA","Logistics performance index: Ease of arranging competitively priced shipments (1=low to 5=high)","LP.LPI.ITRN.XQ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2.49","","","2.84","","2.6","","2.627793","","2.429646","","2.52","","","","2.5","","",
"Nigeria","NGA","Lead time to export, median case (days)","LP.EXP.DURS.MD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","9.9","","","2.51","","4","","4","","3","","3","","","","","","",
"Nigeria","NGA","Secure Internet servers (per 1 million people)","IT.NET.SECR.P6","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.612087335069317","0.904425041305092","1.645851142696","2.10992087945833","2.84028382074011","3.37228545050571","45.0973861014707","212.374669345264","176.062355799907","71.7758025238589","71.2255701423008","61.547814694274","47.0936939460015","47.5989986876815","98.36277868906",
"Nigeria","NGA","Fixed telephone subscriptions (per 100 people)","IT.MLT.MAIN.P2","0.045726148","0.0455133","0.0455133","0.0455133","0.0455133","","0.0455133","0.0455133","0.0455133","0.0455133","","0.0455133","0.0455133","0.0455133","0.0455133","","","","","","","0.217305167","0.195895837","0.230052113","0.236741816","0.244038269","0.251304759","0.25834755","0.260681988","0.269559031","0.298","0.295","0.313","0.326","0.342","0.366","0.363","0.346","0.366","0.385","0.438","0.462","0.526","0.648","0.728","0.844","1.13","1.03","0.83","0.915","0.63","0.42","0.237","0.199","0.0986","0.0982","0.0791","0.0696","0.0686","0.0512","0.05","0.0487","0.0435","0.0491","",
"Nigeria","NGA","Container port traffic (TEU: 20 foot equivalent units)","IS.SHP.GOOD.TU","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","588478","512610","","","","72500","87000","1162000","1456000","1583460","1696000","1867409","1544183","1272000","1408000","1560000","1627142","1548622","1566109","1566109","","",
"Nigeria","NGA","Railways, goods transported (million ton-km)","IS.RRS.GOOD.MT.K6","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","480","","54","","","44","39","57.214","76.926","","","","","","","","","","","","","","","","","","","",
"Nigeria","NGA","Statistical performance indicators (SPI): Pillar 5 data infrastructure score (scale 0-100)","IQ.SPI.PIL5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","40","40","40","40","35","40","40","50","",
"Nigeria","NGA","Statistical performance indicators (SPI): Pillar 1 data use score (scale 0-100)","IQ.SPI.PIL1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","20","20","20","20","20","20","20","30","50","50","50","80","100","86.6","76.6","90","90","90","80","80","",
"Nigeria","NGA","Adjusted savings: energy depletion (% of GNI)","NY.ADJ.DNGY.GN.ZS","","","","","","","","","","","0.447241368954194","0.410119891059502","1.32340468057648","2.18015790802108","20.7164997640659","12.6806449603491","11.7962195344174","14.5158238076285","11.094438578214","29.4219772041851","17.6892440128847","2.31536231999428","0.87116665510565","2.51872743091038","4.64610702005796","5.66871319414142","2.61221884881355","5.30749335913451","4.65353392282823","13.658951383967","14.785958203354","9.39530373352427","11.4311601202966","19.268502712986","12.1108664752467","10.4157092987393","10.6743684846723","9.26643461692891","4.46175058265574","5.19808666148029","13.1784596343324","8.36674645864773","5.49200544437949","6.63205267137552","8.16075406026052","9.89743035860281","7.59218293877828","6.95262645229633","7.73505869379046","4.37482309977167","6.67019801749588","8.61319227962612","7.08411743301012","5.15673822947642","3.65978499350569","1.48796897074401","1.26813852174609","2.60563035209807","3.80255446619972","3.2835440091152","1.58754632268501","2.7341515185273","","","",
"Nigeria","NGA","Adjusted savings: consumption of fixed capital (% of GNI)","NY.ADJ.DKAP.GN.ZS","","","","","","","","","","","8.35727554417916","8.05088776512551","8.70399550089816","9.36747549011288","8.05496500221222","8.77214992568368","9.15550989289305","9.06146345773191","9.24026291089061","9.40952605965814","10.74659366503","10.5967900487319","10.348112834611","9.94403391728468","9.31075739595231","10.0701836814259","10.2178930374574","9.45854458190441","8.8609330124487","8.29083982865432","8.22618036245983","8.4263596548062","7.74564969118787","7.9066770621551","8.02801499389936","8.00274305110362","7.73210783182871","7.82213781757271","7.84452618088404","7.53491639802782","7.44576340660119","7.42205446186703","7.08486689388774","7.30162492212933","7.45537400028724","7.06382186528796","7.19891327958073","7.71504463145386","7.43870708910999","7.35199470174549","8.82451930082742","8.73627950068325","8.7792067331314","9.11555247781514","9.20960767319654","9.50152388654764","9.27349527431056","9.1307612673164","9.58874395142028","10.1647012396652","11.1519320519015","11.5484350220239","","","",
"Nigeria","NGA","Adjusted savings: carbon dioxide damage (% of GNI)","NY.ADJ.DCO2.GN.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1.72400328094016","2.24906019222499","2.7424884935935","4.75976364826172","3.64373195118773","3.14826489699379","3.26623473297117","3.12755057519959","2.93267562678058","2.66800505203557","2.85077492560906","2.87700931078143","2.08916160958369","2.18586848338972","1.72941217162251","1.41484819722551","0.931263309788065","0.784494982004692","0.719592687842625","0.758202622138806","0.741115990255406","0.723892928409619","0.670693670904995","0.707071588963296","0.696621787742823","0.780559885533017","1.0051965800308","1.11454197424137","1.07022983310354","1.08455510019945","1.14150549020827","1.23447087616223","","","",
"Nigeria","NGA","Services, value added (% of GDP)","NV.SRV.TOTL.ZS","","","","","","","","","","","","","","","","","","","","","","47.5230873393836","50.6955008470837","49.9040525376087","50.3543759669544","47.3185032721128","48.1625480465516","45.5725316183889","43.027006057412","42.3460437132947","42.0474090506274","41.1645222167254","40.9856025088439","42.3501035346073","42.5177313582316","36.979423264697","35.3582269388039","36.3339286815863","42.3808822482371","43.5884840152643","43.7984549227611","46.2224797158223","38.9699324729488","39.1455112028244","43.355018249934","44.6842057357904","48.488798713658","49.962371047205","48.9753597288614","50.981397065431","50.7888436709083","49.2430315160577","50.1858844831558","52.3666011224583","54.1531280154165","58.1222219182291","59.7850976800938","55.8046968877557","52.017050934471","49.7302169020823","46.3861274671573","43.7883918564236","44.0357676988698","42.7655317707006","47.042265695476",
"Nigeria","NGA","Services, value added (current LCU)","NV.SRV.TOTL.CN","","","","","","","","","","","","","","","","","","","","","","66204651757","75562260115","79222773620","83514847143","88878631678","95421160720","111506968240","135799825690","175677161180","207984847680","242895271200","371341563700","532414853000","752050012900","1146449057500","1444760208900","1605490485000","2036467682000","2389675137000","3093375843000","3806187170800","4482107453900","5306946653800","7857689529300","10331827981000","14728559267000","17324923674000","19567718998000","22157258790000","27736937478000","31089457397000","36310216229000","42422165042000","48811996690000","55319414751000","61324813865000","64119178133000","67147202398000","72426659908000","71551677266000","77100630722000","89112993101000","100253488688900","130539362000000",
